original	translated	translated_simple
BOISÉ	WOODY	WOODY
AQUEUX		
VOLUME	VOLUME	VOLUME
UMAMI	UMAMI	UMAMI
FRAIS	FRESH	FRESH
SALÉ	SALTY	SALTY
AMERTUME	BITTER	BITTER
GRAS	FATTY	FATTY
AMER	BITTER	BITTER
SUCRE	SWEET	SWEET
FRAICHEUR	FRESH	FRESH
FRAÎCHEUR	FRESH	FRESH
BOISE	WOODY	WOODY
ASTRINGENCE	ASTRINGENT	ASTRINGENT
SALINITE	SALTY	SALTY
SUCROSITE	SWEET	SWEET
SUCROSITÉ	SWEET	SWEET
MINERAL	MINERALITY	MINERALITY
ASSECHANT	ASTRINGENT	ASTRINGENT
ACIDITE	ACID	ACID
CARTON	CARTON	CARTON
METALLIQUE	METALLIC	METALLIC
LACTE	FATTY	FATTY
ACIDE	ACID	ACID
ASTRIINGENCE	ASTRINGENT	ASTRINGENT
TERREUX	EARTHY	EARTHY
ANIS	ANIS	ANIS
NEUTRE		
FRUITE	FRUITY	FRUITY
FRUITÉ	FRUITY	FRUITY
SEC	DRY	ACID
EAU		
COLLANT	STICKY	MOUTHFILLING
DOUX	SWEET	SWEET
NEUTRE		
PIQUANT	PUNGENT	PUNGENT
CRAIE	SILICA	MOUTHFILLING
HUILEUX	FATTY	FATTY
TANIQUE	ASTRINGENT	ASTRINGENT
TERRE DE SILICE	SILICA	MOUTHFILLING
CHLORE	CHLORINE	CHLORINE
IODE	IODINE	IODINE
FLUIDITE	FLUENT	MOUTHFILLING
FLUIDE	FLUENT	MOUTHFILLING
ROND	MOUTHFILLING	MOUTHFILLING
RONDEUR	MOUTHFILLING	MOUTHFILLING
VEG	VEGETAL	VEGETAL
CHIMIQUE	CHEMICAL	CHEMICAL
ACIDITÉ	ACID	ACID
ENCAUSTIQUE	PAINT	CHEMICAL
SALIVANT	SALIVA	MOUTHFILLING
GLISSANT	FLUENT	MOUTHFILLING
TENDU	DRY	ACID
LISSE	MOUTHFILLING	MOUTHFILLING
DOUCEREUX	SWEET	SWEET
CITRON	ACID	ACID
CRAYEUX	SILICA	MOUTHFILLING
RIEN		
PLAT	FLAT	
SALIN	SALTY	SALTY
AGRUME	CITRUS	ACID
FERREUX	FERRIC	METALLIC
SALINITÉ	SALTY	SALTY
VOLUPTÉ	MOUTHFILLING	MOUTHFILLING
