original	translated	translated_simple
AMERE	BITTER	BITTER
VOLUIME	VOLUME	VOLUME
ACQUEUX		
FRUIOT	FRUITY	FRUITY
FLORSAL	FLORAL	FLORAL
POIVRE	PUNGENT	PUNGENT
FRUITﾉ	FRUITY 	FRUITY
SEC ACIDE	ACID_HIGH	ACID_HIGH
AMER ACIDE	BITTERACID	BITTER
SUCROSITﾉ	SWEET	SWEET
RFAS	FATTY	FATTY
GHRAS	FATTY	FATTY
SECACIDE	ACID_HIGH	ACID_HIGH
MINEDRAL	MINERALITY	MINERALITY
GRFAS	FATTY	FATTY
GGRAS	FATTY	FATTY
AMEERTUME	BITTER	BITTER
STRINGENCE	ASTRINGENT	ASTRINGENT
STRIN GENCE	ASTRINGENT	ASTRINGENT
ASTINGENCE	ASTRINGENT	ASTRINGENT
SEDC	DRY	ACID
SYEC	DRY	ACID
1 SUCRE	SWEET	SWEET
ACIDITﾉ	ACID	ACID
FRAﾎCHEUR	FRESH	FRESH
SEC-AMER	BITTER_HIGH	BITTER_HIGH
SEC-AMER-AC IDE	BITTERACID_HIGH	BITTER_HIGH
SEC-MNERAL	DRY MINERALITY	ACID MINERALITY
SEC-MINERAL	DRY MINERALITY	ACID MINERALITY
INTENSITÉ AROMA	AROMATIC	AROMATIC
MINERAL-AMER	MINERALITY BITTER	MINERALITY BITTER
SEC-MINEDRFAL	DRY MINERALITY	ACID MINERALITY
SALINITEFAKIBLE	SALTY	SALTY
SEC-MNERAL	DRY MINERALITY	ACID MINERALITY
GRAA	FATTY	FATTY
LEGERE_ASTREINGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
LEGERE_ASTREIGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
GRAS-AUCUN		
GRAS_AUCUN		
GRAS_VOLUME	FATTY VOLUME	FATTY VOLUME
AMERTUME_AUCUNE		
LEGERE_AMERTUME	BITTER_LOW	BITTER_LOW
TRES_GRAS	FATTY_HIGH	FATTY_HIGH
LEGER_VOLUME	VOLUME_LOW	VOLUME_LOW
GRAS_MOYENAMERTUME_TRES_FORTE	FATTY BITTER_HIGH	FATTY BITTER_HIGH
AMERF	BITTER	BITTER
TRES_AMER	BITTER_HIGH	BITTER_HIGH
UN PEU MOINS GRAS	FATTY_LOW	FATTY_LOW
LEGERE_ASTRINGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
MINERALASSECHANT	MINERALITY DRY	MINERALITY ACID
LEGERE_SALINITE	SALTY_LOW	SALTY_LOW
UN_PEU_DE _FRAICHEUR	FRESH_LOW	FRESH_LOW
STRIN GENCE	ASTRINGENT	ASTRINGENT
UN_PEU_DE_GRAS	FATTY_LOW	FATTY_LOW
UN_PEU_MOINS_GRAS	FATTY_LOW	FATTY_LOW
PLUS_DE_FRAICHEUR	FRESH	FRESH
LEGERE_SUCROSITE	SWEET_LOW	SWEET_LOW
LEGERE_ACIDITE	ACID_LOW	ACID_LOW
ACIDITE_LEGERE	ACID_LOW	ACID_LOW
LEGERE_SALINITE	SALTY_LOW	SALTY_LOW
LEGER_GRAS	FATTY_LOW	FATTY_LOW
LEGERE_ASTRINGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
PEU_DE_GRAS	FATTY_LOW	FATTY_LOW
LEGER_STRINGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
PEU_DE_VOLUME	VOLUME_LOW	VOLUME_LOW
PAS DE VOLUME		
SENSATION_DE BOUCHE_ENROBEE_TERRE DE SILICE_MOYEN	SILICA	MOUTHFILLING
SENSATION_DE BOUCHE_ENROBEE_TERRE DE SILICE_FORT	SILICA_HIGH	MOUTHFILLING_HIGH
VEGETAL_CHIMIQUE_PEINTURE	VEGETAL CHEMICAL PAINT	VEGETAL CHEMICAL
VIEILLE_CAVE_PEINTURE	MOIST PAINT	MOIST CHEMICAL
GOUT_CITRONNÉ	LEMON	LEMON
SEC_ACIDE	ACID_HIGH	ACID_HIGH
AMER_SUCRE	BITTERSWEET	BITTERSWEET
MINE_DE_CRAYON	GRAPHITE	MOUTHFILLING
TRES_FLUIDE	FLUENT_HIGH	MOUTHFILLING_HIGH
VOLUME_GRAS	VOLUME FATTY	VOLUME FATTY
SUCRE_TRES FAIBLE	SWEET_LOW	SWEET_LOW
FRAICHEURR	FRESH	FRESH
ASTRINBGENCE	ASTRINGENT	ASTRINGENT
FRAICHEURF	FRESH	FRESH
INSTENSITÉ_FSIBLE DOUX	SWEET_LOW	SWEET_LOW
INTENSITÉ_MOYENNE FRAICHEUR	FRESH	FRESH
ANIMAL_MOUILLE_FORT	MOIST_HIGH	MOIST_HIGH
PAPIER MOUILLÉ	CARTON	CARTON
PAPIER_MOUILLE	CARTON	CARTON
CARTON_MOUILLE	CARTON	CARTON
CARTON_MOUILLE_2	CARTON	CARTON
PAPIER_MOUILLE_LEGER	CARTON_LOW	CARTON_LOW
CARTON LEGER	CARTON_LOW	CARTON_LOW
ACIDE MOYEN	ACID	ACID
MARTUME_MOYEN	BITTER	BITTER
LEGER _VOLUME	VOLUME_LOW	VOLUME_LOW
AMEERTUME_FAIBLE	BITTER_LOW	BITTER_LOW
TERRE DE SILICE	SILICA	MOUTHFILLING
AMER_FORT _AUGMENTE	BITTER_HIGH	BITTER_HIGH
AMERF	BITTER	BITTER
FUITE_FAIBLE	FRUITY_LOW	FRUITY_LOW
GRAA_MLOYEN	FATTY	FATTY
LEGERE_AMERTUME	BITTER_LOW	BITTER_LOW
LEGERE_ASTREIGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
LEGERE_ASTREINGENCE	ASTRINGENT_LOW	ASTRINGENT_LOW
AMERF_INTENSE	BITTER_HIGH	BITTER_HIGH
STRIN GENCE_MOYENNE	ASTRINGENT	ASTRINGENT
STRINGENCE_FAIBLE	ASTRINGENT_LOW	ASTRINGENT_LOW
MAIS_EFFET_CUMULATIF		
-UN-PEU-PLUS-SOUTENUE		
PERISTANT		
TANIN	ASTRINGENT	ASTRINGENT
BOIS_VERT	VEGETAL	VEGETAL
DEFAUT	OFFNOTE	OFFNOTE
TRES AMERR SEC	BITTER_HIGH	BITTER_HIGH
TRES AMER SEC	BITTER_HIGH	BITTER_HIGH
FINAL		
APRE_SUEUR_MOYEN	ACID	ACID
APRE_SUEUR_FORT	ACID_HIGH	ACID_HIGH
APRE_SUEUR_LEGER	ACID_LOW	ACID_LOW
EAU_DHUITRES	IODINE	IODINE
SUCRRE_LEGER	SWEET_LOW	SWEET_LOW
SALE	SALTY	SALTY
AMER_TRRES_LEGER	BITTER_LOW	BITTER_LOW
TRES AMER ACIDE	BITTER_HIGH ACID	BITTER_HIGH ACID
APRE/SUEUR	ACID	ACID
TRES AMER	BITTER_HIGH	BITTER_HIGH
PIQUANT	PUNGENT	PUNGENT
AMNER_LEGER	BITTER_LOW	BITTER_LOW
ASRINGENT_FORT	ASTRINGENT_HIGH	ASTRINGENT_HIGH
TRFES AMER	BITTER_HIGH	BITTER_HIGH
LEGER_AMER_VEGETAL	BITTER_LOW VEGETAL	BITTER_LOW VEGETAL
FRAIKCHEUJR	FRESH	FRESH
ECHARD	DRY	ACID
SECHARD	DRY	ACID
TRES AMR	BITTER_HIGH	BITTER_HIGH
GRFAS	FATTY	FATTY
AMER_PEU	BITTER_LOW	BITTER_LOW
AMERTUME_ASSEZ_LEGERE	BITTER_LOW	BITTER_LOW
PAS_AMER		
TRES AMER	BITTER_HIGH	BITTER_HIGH
SECHA	DRY	ACID
ASTGRINGEANT	ASTRINGENT	ASTRINGENT
MÉTALIQUE	METALLIC	METALLIC
PEU DE VOLUME	VOLUME_LOW	VOLUME_LOW
ASTRINGEAANT	ASTRINGENT	ASTRINGENT
ASTRINGEANT	ASTRINGENT	ASTRINGENT
LÉGÈREMENT_GRAS	FATTY_LOW	FATTY_LOW
MINERFAL	MINERALITY	MINERALITY
VOLUMRE	VOLUME	VOLUME
AMERTUME_TRE_TRES_FORTE	BITTER_HIGH	BITTER_HIGH
LEGER GRAS	FATTY_LOW	FATTY_LOW
PIOQUANT	PUNGENT	PUNGENT
TRFES AMER ACIDE	BITTER_HIGH ACID	BITTER_HIGH ACID
AACIDITE-LEGERE	ACID_LOW	ACID_LOW
ACIDITE-LEGERE	ACID_LOW	ACID_LOW
ACIDITE-TRES-LEGERE	ACID_LOW	ACID_LOW
AMERTUME_MOYENNE_IFORTE	BITTER	BITTER
AGUME	CITRUS	ACID
AMERR_MOYEN	BITTER	BITTER
AQUEU		
AQUEUE		
AMER_0		
AMER_1	BITTER_LOW	BITTER_LOW
AMER_2	BITTER_LOW	BITTER_LOW
AMER_2_A_3	BITTER_LOW	BITTER_LOW
AMER_3	BITTER	BITTER
AMER_4	BITTER	BITTER
AMER_5	BITTER	BITTER
AMER_8	BITTER_HIGH	BITTER_HIGH
AMER_9	BITTER_HIGH	BITTER_HIGH
AMER_10	BITTER_HIGH	BITTER_HIGH
AMER_LEDGER	BITTER_LOW	BITTER_LOW
AMERTUME_TRES_LEGERE	BITTER_LOW	BITTER_LOW
AMERTUME-LEGERE	BITTER_LOW	BITTER_LOW
AMERTUME-TRES-FORTE	BITTER_HIGH	BITTER_HIGH
AMERTUME-TRES-TRES-FORTE	BITTER_HIGH	BITTER_HIGH
PAS DE VOL		
EN FIN		
FORTE_AMERTUME	BITTER_HIGH	BITTER_HIGH
FRAIS_VEGETAL	FRESH VEGETAL	FRESH VEGETAL
GTRES_AMER	BITTER_HIGH	BITTER_HIGH
LEGER_VOLUMRE	VOLUME_LOW	VOLUME_LOW
LEGEREMENT_AMER	BITTER_LOW	BITTER_LOW
LEGEREMENT_FLORAL_ROSÉ	ROSE_LOW	FLORAL_LOW
METALLIQUE_FINALE	METALLIC	METALLIC
MIKNERFAL	MINERALITY	MINERALITY
MOYENNEMENT_AMER	BITTER	BITTER
PETIT_POIS	GREENPEA	VEGETAL
PEU_AROMAIQUE	AROMATIC_LOW	AROMATIC_LOW
SUCRE_2	SWEET_LOW	SWEET_LOW
SUCRE:_2	SWEET_LOW	SWEET_LOW
SUCRE_3	SWEET	SWEET
SUCRE_MARQUE	SWEET_HIGH	SWEET_HIGH
TRES_AMRER	BITTER_HIGH	BITTER_HIGH
VOLUMR	VOLUME	VOLUME
AMERTUJME	BITTER	BITTER
TRES AMER SECHA	BITTER_HIGH	BITTER_HIGH
TRES AMER ACIDE	BITTER_HIGH	BITTER_HIGH
