parent	label	mass [mg]
	EtOH_96;water;Swertia_chirayita_ground	6000000;5000000;1100000
EtOH_96;water;Swertia_chirayita_ground	mixture_raw	12100000.0
mixture_raw	extract_raw	8520000.0
extract_raw	extract_decanted	8340000.0
extract_decanted	extract_decanted_8kg	8000000.0
extract_decanted_8kg	extract_dried	86328.0
extract_dried	extract_dried_30g	30000.0
extract_dried_30g	V_01	12419.0
extract_dried_30g	V_02	4252.9
extract_dried_30g	V_03	10372.3
extract_dried_30g	V_04	349.5
V_03	V_03_10g	10000.0
V_03_10g	M_01	0.0
V_03_10g	M_02	0.0
V_03_10g	M_03	145.3
V_03_10g	M_04	91.9
V_03_10g	M_05	0.0
V_03_10g	M_06	0.0
V_03_10g	M_07	0.0
V_03_10g	M_08	0.0
V_03_10g	M_09	0.0
V_03_10g	M_10	0.0
V_03_10g	M_11	0.0
V_03_10g	M_12	0.0
V_03_10g	M_13	4.0
V_03_10g	M_14	13.4
V_03_10g	M_15	36.1
V_03_10g	M_16	26.2
V_03_10g	M_17	99.1
V_03_10g	M_18	123.0
V_03_10g	M_19	64.3
V_03_10g	M_20	89.6
V_03_10g	M_21	99.1
V_03_10g	M_22	143.0
V_03_10g	M_23	195.3
V_03_10g	M_24	199.6
V_03_10g	M_25	143.8
V_03_10g	M_26	122.4
V_03_10g	M_27	115.6
V_03_10g	M_28	116.2
V_03_10g	M_29	118.6
V_03_10g	M_30	115.3
V_03_10g	M_31	118.4
V_03_10g	M_32	156.1
V_03_10g	M_33	184.4
V_03_10g	M_34	210.1
V_03_10g	M_35	185.2
V_03_10g	M_36	141.0
V_03_10g	M_37	123.9
V_03_10g	M_38	128.7
V_03_10g	M_39	144.8
V_03_10g	M_40	152.7
V_03_10g	M_41	119.7
V_03_10g	M_42	168.4
V_03_10g	M_43	149.7
V_03_10g	M_44	127.9
V_03_10g	M_45	156.7
V_03_10g	M_46	167.7
V_03_10g	M_47	167.4
V_03_10g	M_48	157.8
V_03_10g	M_49	0.0
V_03_10g	M_50	150.7
V_03_10g	M_51	163.0
V_03_10g	M_52	125.2
V_03_10g	M_53	126.4
V_03_10g	M_54	95.0
V_03_10g	M_55	136.2
V_03_10g	M_56	152.7
V_03_10g	M_57	127.1
V_03_10g	M_58	130.5
V_03_10g	M_59	115.6
V_03_10g	M_60	90.7
V_03_10g	M_61	96.3
V_03_10g	M_62	38.2
V_03_10g	M_63	61.7
V_03_10g	M_64	51.1
V_03_10g	M_65	59.8
V_03_10g	M_66	60.1
V_03_10g	M_67	69.7
V_03_10g	M_68	36.1
V_03_10g	M_69	16.6
V_03_10g	M_70	33.8
V_03_10g	M_71	63.3
V_03_10g	M_72	58.6
V_03_10g	M_73	146.6
V_03_10g	M_74	144.4
V_03_10g	M_75	124.5
V_03_10g	M_76	111.9
V_03_10g	M_77	76.2
V_03_10g	M_78	63.8
V_03_10g	M_79	60.5
V_03_10g	M_80	96.8
V_03_10g	M_81	47.7
V_03_10g	M_82	15.0
