group	rowname
#e31a1c	17
#e31a1c	18
#e31a1c	19
#e31a1c	20
#e31a1c	21
#fdbf6f	22
#fdbf6f	23
#fdbf6f	24
#fdbf6f	25
#fdbf6f	26
#fdbf6f	27
#fdbf6f	28
#fdbf6f	29
#fdbf6f	30
#fdbf6f	31
#fb9a99	32
#fb9a99	33
#fb9a99	34
#fb9a99	35
#fb9a99	36
#fb9a99	37
#fb9a99	38
#fb9a99	39
#b2df8a	40
#b2df8a	41
#b2df8a	42
#b2df8a	43
#b2df8a	44
#b2df8a	45
#33a02c	46
#33a02c	47
#33a02c	48
#33a02c	50
#33a02c	51
#33a02c	52
#33a02c	53
#33a02c	54
#1f78b4	55
#1f78b4	56
#1f78b4	57
#1f78b4	58
#1f78b4	59
#1f78b4	60
#1f78b4	61
#1f78b4	62
#1f78b4	63
#a6cee3	64
#a6cee3	65
#a6cee3	66
#a6cee3	67
#a6cee3	68
#a6cee3	69
#a6cee3	70
#a6cee3	71
