fraction	session	J01X	J01Y	J02X	J02Y	J03X	J03Y	J04X	J04Y	J05X	J05Y	J06X	J06Y	J07X	J07Y	J08X	J08Y	J09X	J09Y	J10X	J10Y	J11X	J11Y	J12X	J12Y	J13X	J13Y	J14X	J14Y
55	session_06	42	9.6	40.2	7.2	16.2	25.6	22.2	11.2	38.4	20.8	5.4	6.4	39.6	34.4	15	4.8	48.6	18	27	24.4								
56	session_06	51.6	6	21.6	4.4	21.6	19.6	36	32	10.8	32	26.4	23.6	19.8	4.8	17.4	20	43.8	18	31.8	24.4								
57	session_06	31.8	9.6	44.4	5.2	22.2	18	53.4	37.2	46.8	15.2	45.6	6.4	28.2	26.8	52.2	6.8	38.4	32	27	20								
58	session_06	3	6.4	40.2	1.6	19.8	18	10.8	34	42.6	12.4	6	5.2	4.2	21.2	54	19.2	13.8	25.6	25.8	22								
59	session_06	1.8	37.6	44.4	2.8	19.8	25.6	33.6	17.6	51	3.2	44.4	7.2	49.2	35.6	28.2	12.8	22.2	9.6	33.6	22.4								
60	session_06	53.4	34.8	22.2	2	31.8	21.6	10.2	11.2	35.4	17.6	4.8	8.8	37.8	24.8	4.2	30.8	40.8	37.2	28.8	22								
61	session_06	54.6	36.4	39.6	4.8	34.2	23.2	48	13.6	4.2	35.6	46.8	7.2	10.8	18.4	30	32	15.6	31.6	29.4	24.8								
62	session_06	31.2	6.8	2.4	4.4	31.2	23.2	28.8	32	51	9.2	45.6	6.8	3.6	13.6	36	4.4	10.2	32	31.2	22								
63	session_06	52.2	10	2.4	2	21.6	24	6	36	27	26	45	7.2	18	2	16.8	27.6	37.2	36.8	30.6	20.8								
22	session_02	25.2	38.8	6.6	1.6	21	8	9.6	36	15.6	25.6	7.8	10	9.6	10	11.4	19.2	1.8	12	3.6	2.4								
23	session_02	1.2	2	34.8	0.8	5.4	2	39	33.2	5.4	8.8	3	14.4	6.6	2.8	19.2	26.8	1.8	14.4	9	1.6								
24	session_02	10.2	20.8	22.8	1.2	51	4	9.6	32.8	18	35.6	13.8	12	7.2	24.8	5.4	14.8	10.2	12	3	38								
25	session_02	9.6	19.2	14.4	2.8	49.8	6.4	43.8	30	15.6	22.4	1.8	26	10.2	23.2	4.8	12	19.2	4.4	4.8	16.8								
26	session_02	11.4	2.8	23.4	3.6	21	10	15.6	6.8	3	2.8	6	14	14.4	9.6	12.6	21.2	28.8	3.2	3	5.2								
27	session_02	55.2	2.8	45	3.2	21	2.8	19.2	13.2	53.4	5.6	27.6	16.4	44.4	28.8	46.2	32.4	57.6	1.2	52.2	9.2								
28	session_02	56.4	38.4	45	1.2	33	2.4	14.4	15.6	46.8	6.4	21.6	13.6	49.2	32	41.4	29.6	46.8	1.2	25.8	2.8								
29	session_02	26.4	22	34.2	3.2	51	2	12	10	27.6	15.2	5.4	5.6	12	12.4	30	29.6	37.2	1.6	4.8	24.4								
30	session_02	12	38.4	14.4	1.2	21	5.2	46.8	28	34.2	25.2	1.8	3.6	4.8	21.6	15.6	24.4	28.2	0.8	16.8	1.6								
31	session_02	52.2	22	56.4	1.2	33	4.4	21.6	8.8	57.6	24.4	31.2	19.6	54	35.6	49.8	36	46.8	4	46.8	32.4								
46	session_05	46.2	36	28.8	16.4	48	18.4	25.2	14.4	10.8	9.2	20.4	24	1.8	2	43.2	30.8	1.8	1.6	34.8	31.2	3	5.6			41.4	26.8	57	24
47	session_05	17.4	35.6	6.6	38.4	29.4	8.4	6	4.4	14.4	8.8	36	26.4	3.6	2.4	22.8	14	37.2	2.8	14.4	23.6	39	12.4			10.2	16.8	58.2	25.2
48	session_05	31.2	27.2	27.6	22.8	48	16	6	2.4	13.2	7.2	19.8	26.4	1.2	0.8	25.8	16	27.6	6	40.8	10.8	13.2	20.4			24.6	22.4	40.8	27.2
50	session_05	12	37.6	4.2	4.4	12	5.2	45	4	25.2	8.4	16.2	26	2.4	3.6	39.6	33.2	11.4	16	4.2	8	12	24			10.2	20	42	28
51	session_05	32.4	28	4.8	18	12.6	2.8	44.4	6	23.4	6.4	31.2	29.2	3	3.2	7.8	36	22.2	31.2	21	25.6	40.2	13.2			18	16.8	29.4	23.6
