fraction	session	jury	taste_original	taste_intermediate	taste_harmonized
fraction_17	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	VOLUME	VOLUME
fraction_17	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID	ACID
fraction_17	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID_LOW	ACID
fraction_17	session_01	J2	AMER_LEGER	BITTER_LOW	BITTER
fraction_17	session_01	J3	FRAICHEUR	FRESH	FRESH
fraction_17	session_01	J4	ASTRINGEAANT	ASTRINGENT	ASTRINGENT
fraction_17	session_01	J5	VOLUME  CRAYEUX	VOLUME	VOLUME
fraction_17	session_01	J5	VOLUME  CRAYEUX	MOUTHFILLING	MOUTHFILLING
fraction_17	session_01	J6	VOLUME AMERTUME	VOLUME	VOLUME
fraction_17	session_01	J6	VOLUME AMERTUME	BITTER	BITTER
fraction_17	session_01	J7	METALLIQUE_MOYEN FRAICHEUR_MOYEN	METALLIC	METALLIC
fraction_17	session_01	J7	METALLIQUE_MOYEN FRAICHEUR_MOYEN	FRESH	FRESH
fraction_17	session_01	J8	VOLUME	VOLUME	VOLUME
fraction_17	session_01	J9	GRAS SALIN	FATTY	FATTY
fraction_17	session_01	J9	GRAS SALIN	SALTY	SALTY
fraction_18	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	VOLUME	VOLUME
fraction_18	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID	ACID
fraction_18	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID_LOW	ACID
fraction_18	session_01	J2	AMER_LEGER VOLUME	BITTER_LOW	BITTER
fraction_18	session_01	J2	AMER_LEGER VOLUME	VOLUME	VOLUME
fraction_18	session_01	J3	RIEN	""	""
fraction_18	session_01	J4	ASTRINGEANT	ASTRINGENT	ASTRINGENT
fraction_18	session_01	J5	FRAICHEUR	FRESH	FRESH
fraction_18	session_01	J6	VOLUME	VOLUME	VOLUME
fraction_18	session_01	J7	GRAS_INTENSE	FATTY_HIGH	FATTY
fraction_18	session_01	J8	FLUIDE AMER	MOUTHFILLING	MOUTHFILLING
fraction_18	session_01	J8	FLUIDE AMER	BITTER	BITTER
fraction_18	session_01	J9	FRAIS MÉTALIQUE	FRESH	FRESH
fraction_18	session_01	J9	FRAIS MÉTALIQUE	METALLIC	METALLIC
fraction_19	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	VOLUME	VOLUME
fraction_19	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID	ACID
fraction_19	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID_LOW	ACID
fraction_19	session_01	J2	AMER_LEGER	BITTER_LOW	BITTER
fraction_19	session_01	J3	RIEN	""	""
fraction_19	session_01	J4	MINERFAL	MINERALITY	MINERALITY
fraction_19	session_01	J5	FRAICHEUR	FRESH	FRESH
fraction_19	session_01	J6	FRAICHEUR ASTRINGENCE	FRESH	FRESH
fraction_19	session_01	J6	FRAICHEUR ASTRINGENCE	ASTRINGENT	ASTRINGENT
fraction_19	session_01	J7	GRAS_MOYEN PLAT	FATTY	FATTY
fraction_19	session_01	J7	GRAS_MOYEN PLAT	""	""
fraction_19	session_01	J8	VOLUME LEGERE_AMERTUME	VOLUME	VOLUME
fraction_19	session_01	J8	VOLUME LEGERE_AMERTUME	BITTER_LOW	BITTER
fraction_19	session_01	J9	FRAIS LÉGÈREMENT_GRAS	FRESH	FRESH
fraction_19	session_01	J9	FRAIS LÉGÈREMENT_GRAS	FATTY_LOW	FATTY
fraction_20	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	VOLUME	VOLUME
fraction_20	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID	ACID
fraction_20	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID_LOW	ACID
fraction_20	session_01	J2	AMER_LEGER VOLUME	BITTER_LOW	BITTER
fraction_20	session_01	J2	AMER_LEGER VOLUME	VOLUME	VOLUME
fraction_20	session_01	J3	RIEN	""	""
fraction_20	session_01	J4	MINERAL AMER	MINERALITY	MINERALITY
fraction_20	session_01	J4	MINERAL AMER	BITTER	BITTER
fraction_20	session_01	J5	CRAYEUX  FRAICHEUR  PEU DE VOLUME	MOUTHFILLING	MOUTHFILLING
fraction_20	session_01	J5	CRAYEUX  FRAICHEUR  PEU DE VOLUME	FRESH	FRESH
fraction_20	session_01	J5	CRAYEUX  FRAICHEUR  PEU DE VOLUME	VOLUME_LOW	VOLUME
fraction_20	session_01	J6	VOLUME AMERTUME	VOLUME	VOLUME
fraction_20	session_01	J6	VOLUME AMERTUME	BITTER	BITTER
fraction_20	session_01	J7	UMAMI_FAIBLE RONDEUR_FAIBLE	UMAMI_LOW	UMAMI
fraction_20	session_01	J7	UMAMI_FAIBLE RONDEUR_FAIBLE	MOUTHFILLING_LOW	MOUTHFILLING
fraction_20	session_01	J8	VOLUME	VOLUME	VOLUME
fraction_20	session_01	J9	FRAIS LÉGÈREMENT_GRAS	FRESH	FRESH
fraction_20	session_01	J9	FRAIS LÉGÈREMENT_GRAS	FATTY_LOW	FATTY
fraction_21	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	VOLUME	VOLUME
fraction_21	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID	ACID
fraction_21	session_01	J1	VOLUMRE_MOYEN ACIDE MOYEN CITRON_LEGER	ACID_LOW	ACID
fraction_21	session_01	J2	AMER_MOYEN	BITTER	BITTER
fraction_21	session_01	J3	RIEN	""	""
fraction_21	session_01	J4	MINERAL	MINERALITY	MINERALITY
fraction_21	session_01	J5	FRAICHEUR  LEGER_VOLUME  LEGERE_ASTRINGENCE	FRESH	FRESH
fraction_21	session_01	J5	FRAICHEUR  LEGER_VOLUME  LEGERE_ASTRINGENCE	VOLUME_LOW	VOLUME
fraction_21	session_01	J5	FRAICHEUR  LEGER_VOLUME  LEGERE_ASTRINGENCE	ASTRINGENT_LOW	ASTRINGENT
fraction_21	session_01	J6	VOLUME	VOLUME	VOLUME
fraction_21	session_01	J7	GRAS_MOYEN PLAT	FATTY	FATTY
fraction_21	session_01	J7	GRAS_MOYEN PLAT	""	""
fraction_21	session_01	J8	VOLUME LEGERE_AMERTUME	VOLUME	VOLUME
fraction_21	session_01	J8	VOLUME LEGERE_AMERTUME	BITTER_LOW	BITTER
fraction_21	session_01	J9	MÉTALIQUE	METALLIC	METALLIC
fraction_22	session_02	J1	GRAS AMERTUME_FAIBLE	FATTY	FATTY
fraction_22	session_02	J1	GRAS AMERTUME_FAIBLE	BITTER_LOW	BITTER
fraction_22	session_02	J10	FRUITE_FAIBLE	FRUITY_LOW	FRUITY
fraction_22	session_02	J2	AMER-TRES-LEGER	BITTER_LOW	BITTER
fraction_22	session_02	J3	AMER	BITTER	BITTER
fraction_22	session_02	J4	ACIDE SEDC	ACID	ACID
fraction_22	session_02	J4	ACIDE SEDC	ACID	ACID
fraction_22	session_02	J5	SUCRE_LEGER	SWEET_LOW	SWEET
fraction_22	session_02	J6	GRAS  VOLUME  LEGERE_ASTREINGENCE	FATTY	FATTY
fraction_22	session_02	J6	GRAS  VOLUME  LEGERE_ASTREINGENCE	VOLUME	VOLUME
fraction_22	session_02	J6	GRAS  VOLUME  LEGERE_ASTREINGENCE	ASTRINGENT_LOW	ASTRINGENT
fraction_22	session_02	J7	AMERTUME_FAIBLE VOLUME_MOYEN LACTE_MOYEN	BITTER_LOW	BITTER
fraction_22	session_02	J7	AMERTUME_FAIBLE VOLUME_MOYEN LACTE_MOYEN	VOLUME	VOLUME
fraction_22	session_02	J7	AMERTUME_FAIBLE VOLUME_MOYEN LACTE_MOYEN	FATTY	FATTY
fraction_22	session_02	J8	NEUTRE SUCRE_FAIBLE AMER_LEGER	""	""
fraction_22	session_02	J8	NEUTRE SUCRE_FAIBLE AMER_LEGER	SWEET_LOW	SWEET
fraction_22	session_02	J8	NEUTRE SUCRE_FAIBLE AMER_LEGER	BITTER_LOW	BITTER
fraction_22	session_02	J9	SUCRE_LEGER AMER_TRES_LEGER	SWEET_LOW	SWEET
fraction_22	session_02	J9	SUCRE_LEGER AMER_TRES_LEGER	BITTER_LOW	BITTER
